Economic_Freedom_Indicator,Outcome_Variable,Lag_Years,Correlation,P_Value,Sample_Size,CI_Lower,CI_Upper,Strength,Significance
Government Integrity,HDI,-24,0.8656,0.0,63,0.7864,0.9167,Very Strong,Significant
Government Integrity,HDI,-22,0.8511,0.0,133,0.7963,0.8921,Very Strong,Significant
Government Integrity,HDI,-23,0.8509,0.0,98,0.785,0.8977,Very Strong,Significant
Government Integrity,HDI,-21,0.8504,0.0,172,0.8029,0.8871,Very Strong,Significant
Government Integrity,HDI,-18,0.848,0.0,311,0.8136,0.8766,Very Strong,Significant
Government Integrity,HDI,-19,0.848,0.0,262,0.81,0.8788,Very Strong,Significant
Government Integrity,HDI,-20,0.8455,0.0,216,0.8026,0.8797,Very Strong,Significant
Government Integrity,HDI,-17,0.8446,0.0,360,0.8121,0.8719,Very Strong,Significant
Government Integrity,HDI,-16,0.84,0.0,413,0.8091,0.8663,Very Strong,Significant
Government Integrity,HDI,-15,0.8382,0.0,467,0.809,0.8633,Very Strong,Significant
Judicial Effectiveness,HDI,4,0.8347,0.0,103,0.7647,0.8852,Very Strong,Significant
Judicial Effectiveness,HDI,5,0.8345,0.0,54,0.7298,0.9009,Very Strong,Significant
Government Integrity,HDI,-14,0.833,0.0,523,0.8048,0.8575,Very Strong,Significant
Government Integrity,HDI,-13,0.8297,0.0,579,0.8024,0.8535,Very Strong,Significant
Government Integrity,HDI,-12,0.8278,0.0,637,0.8017,0.8508,Very Strong,Significant
Government Integrity,HDI,-11,0.8254,0.0,697,0.8001,0.8477,Very Strong,Significant
Property Rights,HDI,-20,0.8219,0.0,216,0.7732,0.8609,Very Strong,Significant
Property Rights,HDI,-17,0.8208,0.0,360,0.7839,0.8519,Very Strong,Significant
Property Rights,HDI,-21,0.8204,0.0,172,0.7647,0.864,Very Strong,Significant
Property Rights,HDI,-18,0.8198,0.0,311,0.7797,0.8532,Very Strong,Significant
Property Rights,HDI,-11,0.8198,0.0,697,0.7938,0.8427,Very Strong,Significant
Government Integrity,HDI,-10,0.8197,0.0,759,0.7949,0.8418,Very Strong,Significant
Property Rights,HDI,-19,0.8193,0.0,262,0.775,0.8555,Very Strong,Significant
Property Rights,HDI,-12,0.8191,0.0,637,0.7919,0.8432,Very Strong,Significant
Property Rights,HDI,-16,0.8181,0.0,413,0.7835,0.8477,Very Strong,Significant
Property Rights,HDI,-13,0.8181,0.0,579,0.7892,0.8433,Very Strong,Significant
