Indicator,Lag_Years,Correlation_with_Gini,P_Value,Standard_Error,CI_Lower_95,CI_Upper_95,Sample_Size,Gini_Mean,Indicator_Mean,Significant_05,Significant_01
Property Rights,20,-0.6378,0.0,0.0501,-0.7076,-0.5557,238,40.1109,65.0042,True,True
Trade Freedom,20,-0.6087,0.0,0.0516,-0.683,-0.522,238,40.1109,80.2013,True,True
Government Spending,7,0.6036,0.0,0.0252,0.5627,0.6416,1003,37.5743,55.6243,True,True
Government Spending,8,0.603,0.0,0.0261,0.5606,0.6423,935,37.6679,55.2886,True,True
Government Spending,6,0.6013,0.0,0.0244,0.5617,0.6382,1073,37.4837,55.9635,True,True
Government Spending,9,0.6006,0.0,0.0272,0.5564,0.6415,869,37.7799,55.1045,True,True
Government Spending,5,0.5966,0.0,0.0236,0.5581,0.6326,1154,37.4223,56.5336,True,True
Government Spending,10,0.5962,0.0,0.0283,0.5498,0.639,804,37.87,54.997,True,True
Government Spending,4,0.5896,0.0,0.0229,0.5522,0.6246,1250,37.4583,57.191,True,True
Trade Freedom,15,-0.5818,0.0,0.0364,-0.6369,-0.5208,502,38.6876,81.7683,True,True
Overall Score,20,-0.5816,0.0,0.053,-0.66,-0.4908,238,40.1109,67.0298,True,True
Judicial Effectiveness,20,-0.5799,0.0,0.0554,-0.6618,-0.4843,218,40.2087,55.5523,True,True
Government Spending,3,0.5751,0.0,0.0222,0.5384,0.6097,1357,37.4542,57.7003,True,True
Judicial Effectiveness,15,-0.5721,0.0,0.0465,-0.6422,-0.4925,313,38.1045,56.9342,True,True
Government Spending,2,0.5696,0.0,0.0214,0.5341,0.6031,1476,37.5072,58.2455,True,True
Property Rights,15,-0.5689,0.0,0.0368,-0.6253,-0.5066,502,38.6876,62.2875,True,True
Government Spending,15,0.5664,0.0,0.0369,0.5039,0.623,502,38.6876,55.1546,True,True
Government Spending,1,0.5591,0.0,0.0207,0.5246,0.5919,1606,37.5491,58.8573,True,True
Government Integrity,20,-0.5483,0.0,0.0544,-0.6314,-0.4527,238,40.1109,55.7971,True,True
Government Integrity,15,-0.5374,0.0,0.0377,-0.5969,-0.4721,502,38.6876,54.461,True,True
Government Spending,20,0.5182,0.0,0.0557,0.4186,0.6054,238,40.1109,58.9185,True,True
Business Freedom,15,-0.5167,0.0,0.0383,-0.5781,-0.4495,502,38.6876,72.9008,True,True
Trade Freedom,6,-0.5105,0.0,0.0263,-0.5535,-0.4649,1073,37.4837,80.9693,True,True
Trade Freedom,9,-0.5097,0.0,0.0292,-0.5573,-0.4587,869,37.7799,81.772,True,True
Trade Freedom,10,-0.5086,0.0,0.0304,-0.5582,-0.4555,804,37.87,81.9216,True,True
Trade Freedom,5,-0.5082,0.0,0.0254,-0.5498,-0.4642,1154,37.4223,80.5627,True,True
Trade Freedom,7,-0.5033,0.0,0.0273,-0.5481,-0.4556,1003,37.5743,81.2823,True,True
Property Rights,10,-0.5017,0.0,0.0305,-0.5517,-0.4481,804,37.87,60.4012,True,True
